season,round,driver_id,event_id,race_id,race_name,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,target_qualifying_speed_deficit_pct,predicted_qualifying_position,predicted_qualifying_rank,qualifying_route,training_races,evaluated_at,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,actual_points_rank,points_route,composite_chatter_score,points_nudge,finish_position_nudge,eligibility_status,safe_for_historical_backtest,last_coded,race_source_url,verified_direct_signal_count,verified_carryover_signal_count,verified_carryover_weight,production_eligibility_status,chatter_overlay_eligible,chatter_overlay_applied,chatter_score_applied,chatter_additive,chatter_multiplicative,predicted_qualifying_position_adjusted,predicted_finish_position_adjusted,predicted_points_adjusted,win_probability_unscaled,top3_probability_unscaled,win_probability_adjusted,top3_probability_adjusted,predicted_qualifying_rank_adjusted,predicted_finish_rank_adjusted,predicted_points_rank_adjusted,win_probability_rank_adjusted,top3_probability_rank_adjusted
2025,1,william_byron,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,William Byron,24,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,5,,11.18365032414486,2,drafting_superspeedway,252,2026-07-21 10:20:45,1,1,1,0.3900376184000409,9.775095366640882,1,drafting_superspeedway,0.0666164188809284,0.23669458454081188,4,1,drafting_superspeedway,41,0,29.755586017349803,1,3,drafting_superspeedway,0.4125,1.65,-0.6187,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,11.18365032414486,9.775095366640882,29.755586017349803,0.0666164188809284,0.23669458454081188,0.06612992140067493,0.23499270569150277,2,1,1,4,1
2025,1,ryan_blaney,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ryan Blaney,12,team_penske,Team Penske,ford,Ford,41,16,,13.35081367802171,7,drafting_superspeedway,252,2026-07-21 10:20:45,7,0,0,0.35883743482146524,10.984155663964955,2,drafting_superspeedway,0.07519308295015802,0.2157694331041298,3,2,drafting_superspeedway,48,0,27.975578185488722,2,1,drafting_superspeedway,0.21560000000000001,0.8625,-0.3234,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,13.35081367802171,10.984155663964955,27.975578185488722,0.07519308295015802,0.2157694331041298,0.07464395037890516,0.21421801005302904,7,2,2,3,2
2025,1,joey_logano,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Joey Logano,22,team_penske,Team Penske,ford,Ford,41,10,,9.146241999725802,1,drafting_superspeedway,252,2026-07-21 10:20:45,35,0,0,0.3586330370165257,10.992550451746425,3,drafting_superspeedway,0.13067784194077317,0.19828843222282916,1,3,drafting_superspeedway,15,0,25.149429813662067,7,23,drafting_superspeedway,0.21560000000000001,0.8625,-0.3234,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,9.146241999725802,10.992550451746425,25.149429813662067,0.13067784194077317,0.19828843222282916,0.12972350602934,0.19686270087575433,1,3,7,1,3
2025,1,chase_elliott,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chase Elliott,9,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,17,,12.833598769320592,5,drafting_superspeedway,252,2026-07-21 10:20:45,15,0,0,0.33536562398054093,11.9913279117768,4,drafting_superspeedway,0.03502975291975312,0.1855651352681375,7,5,drafting_superspeedway,30,0,24.803933926211517,8,11,drafting_superspeedway,0.1762,0.705,-0.2644,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,12.833598769320592,11.9913279117768,24.803933926211517,0.03502975291975312,0.1855651352681375,0.03477393180514439,0.18423088683362135,5,5,8,7,5
2025,1,kyle_larson,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Kyle Larson,5,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,22,,12.274705321647096,4,drafting_superspeedway,252,2026-07-21 10:20:45,20,0,0,0.33303830309793986,12.096092554499291,5,drafting_superspeedway,0.07869219200588953,0.1899794225361308,2,4,drafting_superspeedway,17,0,25.599110414794836,6,20,drafting_superspeedway,0.18000000000000002,0.7200000000000001,-0.27,verified_pre_race,TRUE,2025-02-15,https://www.nascar.com/news-media/2025/02/15/ncs-saturday-practice-recap/,1,0,0,verified_pre_race,TRUE,TRUE,0.18000000000000002,0.7200000000000001,1.0366558464909237,12.004705321647096,11.826092554499292,26.319110414794835,0.08157672091609171,0.19694327908504952,0.08098096885016401,0.19552721964356015,3,4,4,2,4
2025,1,christopher_bell,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Christopher Bell,20,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,20,,13.299940245267466,6,drafting_superspeedway,252,2026-07-21 10:20:45,31,0,0,0.3238672385552947,12.517915777619606,6,drafting_superspeedway,0.03365534121661846,0.14461320700279007,8,7,drafting_superspeedway,12,0,26.904635403376233,3,27,drafting_superspeedway,0.1181,0.4725,-0.1772,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,13.299940245267466,12.517915777619606,26.904635403376233,0.03365534121661846,0.14461320700279007,0.03340955738473429,0.1435734106812719,6,6,3,9,7
2025,1,denny_hamlin,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Denny Hamlin,11,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,8,,14.97674180108656,12,drafting_superspeedway,252,2026-07-21 10:20:45,24,0,0,0.3163778097202409,12.873280587027176,7,drafting_superspeedway,0.03609371696174204,0.11777860003609825,6,10,drafting_superspeedway,13,0,25.627050563669165,5,26,drafting_superspeedway,0.1181,0.4725,-0.1772,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,14.97674180108656,12.873280587027176,25.627050563669165,0.03609371696174204,0.11777860003609825,0.03583012575330054,0.11693174961621418,12,7,6,6,10
2025,1,bubba_wallace,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Bubba Wallace,23,23xi_racing,23XI Racing,toyota,Toyota,41,3,,16.160238149672256,15,drafting_superspeedway,252,2026-07-21 10:20:45,29,0,0,0.30188229729687366,13.589987758353727,8,drafting_superspeedway,0.02094175282641542,0.07225229380576759,17,16,drafting_superspeedway,10,0,25.664992981865144,4,29,drafting_superspeedway,0.1819,0.7275,-0.2728,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,16.160238149672256,13.589987758353727,25.664992981865144,0.02094175282641542,0.07225229380576759,0.02078881590555883,0.07173278614199634,15,8,5,17,16
2025,1,chris_buescher,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chris Buescher,17,rfk_racing,RFK Racing,ford,Ford,41,6,,18.2466384836792,19,drafting_superspeedway,252,2026-07-21 10:20:45,10,0,0,0.29421800180002666,13.984924553218493,9,drafting_superspeedway,0.03217765465709887,0.08802638133502912,11,14,drafting_superspeedway,32,0,24.349624952911636,10,8,drafting_superspeedway,0.0169,0.0675,-0.0253,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,18.2466384836792,13.984924553218493,24.349624952911636,0.03217765465709887,0.08802638133502912,0.031942662320763204,0.08739345499720887,20,9,11,11,14
2025,1,austin_cindric,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Cindric,2,team_penske,Team Penske,ford,Ford,41,2,,12.229205773604775,3,drafting_superspeedway,252,2026-07-21 10:20:45,8,0,0,0.2919045425683476,14.106375778981802,10,drafting_superspeedway,0.03329066526438585,0.13856747265575936,10,8,drafting_superspeedway,38,0,24.49180904050762,9,4,drafting_superspeedway,0.1819,0.7275,-0.2728,coded_after_or_on_race_date,FALSE,2026-07-15,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,not_production_eligible,FALSE,FALSE,0,0,1,12.229205773604775,14.106375778981802,24.49180904050762,0.03329066526438585,0.13856747265575936,0.03304754464879056,0.1375711463081475,4,10,10,10,8
