season,round,driver_code,pole_current_american_odds,pole_current_decimal_odds,pole_current_no_vig_probability,pole_opening_american_odds,pole_opening_decimal_odds,pole_opening_no_vig_probability,driver_name,race_name,sportsbook,odds_timestamp,source_url,notes
2026,9,ALB,100000,1001,7.808336264498091e-4,NA,NA,NA,Alexander Albon,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,ALO,150000,1501,5.207291539482072e-4,NA,NA,NA,Fernando Alonso,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,ANT,135,2.35,0.33260189790479106,NA,NA,NA,Andrea Kimi Antonelli,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,BEA,80000,801,9.757983271863408e-4,NA,NA,NA,Oliver Bearman,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,BOR,80000,801,9.757983271863408e-4,NA,NA,NA,Gabriel Bortoleto,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,BOT,150000,1501,5.207291539482072e-4,NA,NA,NA,Valtteri Bottas,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,COL,80000,801,9.757983271863408e-4,NA,NA,NA,Franco Colapinto,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,GAS,70000,701,0.0011149992297806834,NA,NA,NA,Pierre Gasly,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,HAD,15000,151,0.005176254702491782,NA,NA,NA,Isack Hadjar,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,HAM,110,2.1,0.37219736194107567,NA,NA,NA,Lewis Hamilton,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,HUL,70000,701,0.0011149992297806834,NA,NA,NA,Nico Hulkenberg,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,LAW,70000,701,0.0011149992297806834,NA,NA,NA,Liam Lawson,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,LEC,1200,13,0.06012418923663531,NA,NA,NA,Charles Leclerc,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,LIN,70000,701,0.0011149992297806834,NA,NA,NA,Arvid Lindblad,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,NOR,4500,46,0.016991618697309977,NA,NA,NA,Lando Norris,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,OCO,80000,801,9.757983271863408e-4,NA,NA,NA,Esteban Ocon,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,PER,150000,1501,5.207291539482072e-4,NA,NA,NA,Sergio Perez,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
2026,9,PIA,4500,46,0.016991618697309977,NA,NA,NA,Oscar Piastri,British Grand Prix,manual,2026-07-03 07:00 America/New_York,NA,Manual qualifying odds supplied by user on 2026-07-03; current pole board.
